date,walcl,cpi,gdp,unemp,fedfunds,unrate
2013-03,0.0,0.007327390844538595,0.0,0.3571428571428572,0.029702970297029705,0.3571428571428572
2013-04,0.010385798578850025,0.0,0.002481842674105783,0.3660714285714286,0.033003300330033,0.3660714285714286
2013-05,0.02635558705562846,0.001450370146547808,0.00992786353762276,0.3571428571428572,0.019801980198019802,0.3571428571428572
2013-06,0.040989796230530895,0.009789998489197593,0.017373884401139517,0.3571428571428572,0.013201320132013198,0.3571428571428572
2013-07,0.05772743162148075,0.016664148662940192,0.024819905264656494,0.3392857142857143,0.013201320132013198,0.3392857142857143
2013-08,0.07413097418733228,0.025064209095029266,0.03263657791347652,0.3303571428571429,0.0099009900990099,0.3303571428571429
2013-09,0.08503709838549356,0.026393715062698497,0.04045325056229698,0.3303571428571429,0.0099009900990099,0.3303571428571429
2013-10,0.1037158786259661,0.02828221785768248,0.048269923211117005,0.3303571428571429,0.013201320132013198,0.3303571428571429
2013-11,0.12068207956704313,0.03479377549478757,0.048663034473960476,0.3035714285714286,0.0099009900990099,0.3035714285714286
2013-12,0.1370301039071593,0.04414564133554899,0.04905614573680417,0.2857142857142857,0.013201320132013198,0.2857142857142857
2014-01,0.149715396203133,0.052742106058317084,0.04944925699964764,0.2767857142857143,0.006600660066006601,0.2767857142857143
2014-02,0.16186652466394347,0.05665508384952389,0.06065864846890423,0.2857142857142857,0.006600660066006601,0.2857142857142857
2014-03,0.17336442841358213,0.06392204260462275,0.07186803993816149,0.2857142857142857,0.0099009900990099,0.2857142857142857
2014-04,0.18569750765464388,0.07056957244296713,0.08307743140741808,0.2410714285714286,0.013201320132013198,0.2410714285714286
2014-05,0.1945930783420129,0.07736818250491018,0.09295270174841752,0.25,0.013201320132013198,0.25
2014-06,0.19974241771298595,0.08209699350355049,0.10282797208941741,0.2321428571428571,0.016501650165016504,0.2321428571428571
2014-07,0.20724794396967328,0.08613083547363631,0.11270324243041685,0.2410714285714286,0.013201320132013198,0.2410714285714286
2014-08,0.21107221760150563,0.0855567306239613,0.11655138172254786,0.2321428571428571,0.013201320132013198,0.2321428571428571
2014-09,0.21442032605882688,0.08581356700407916,0.12039952101467843,0.2142857142857143,0.013201320132013198,0.2142857142857143
2014-10,0.22021154976659751,0.0851034899531653,0.12424766030680945,0.1964285714285715,0.013201320132013198,0.1964285714285715
2014-11,0.22349510599311806,0.07835020395830172,0.1291341103984005,0.2053571428571429,0.013201320132013198,0.2053571428571429
2014-12,0.22494721351640334,0.0673062396132349,0.13402056048999156,0.1875,0.0231023102310231,0.1875
2015-01,0.22673407531409806,0.044568665961625786,0.1389070105815824,0.1964285714285715,0.019801980198019802,0.1964285714285715
2015-02,0.22486321815716648,0.05355793926575014,0.146030642894448,0.1785714285714286,0.019801980198019802,0.1785714285714286
2015-03,0.2234595530926432,0.06313642544190978,0.15315427520731384,0.1696428571428572,0.019801980198019802,0.1696428571428572
